S/N,BRAND,MODEL,LOCATION,DATE ENTERED,OnHand
CNB2KC9J11,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYP,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYD,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HZ0,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYJ,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HZ7,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9J0J,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYS,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HZB,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HY8,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HYN,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HY7,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HZD,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000FR,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000TK,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000DB,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000MD,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000KM,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HZ1,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA00009V,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000XN,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000NZ,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000EW,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
ZDGHBJFJA0000SP,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB2KC9HY1,SAMSUNG,SL-M3870FD,HO,2018-03-20 00:00:00,56.000000
CNB1KCV38J,SAMSUNG,SL-M4580FX,HO,2018-03-20 00:00:00,49.000000
CNB1KCV39C,SAMSUNG,SL-M4580FX,HO,2018-03-20 00:00:00,49.000000
CNB1KDX1F5,SAMSUNG,SL-M4580FX,HO,2018-03-20 00:00:00,49.000000
ZDF1B8GJ8A00A5E,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A008KZ,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00CPK,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00FJA,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00AJJ,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A007QY,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DFZ,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00F4X,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A008DD,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00G1R,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A007KB,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00CNN,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00FMZ,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A0084H,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00GZY,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00GVH,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00FDK,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00F9F,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00G7X,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A0089W,SAMSUNG,SL-M4020,CEB,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00G4E,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00F5B,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00A4V,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00CKF,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A007RW,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00CQJ,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A008BK,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A007JX,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A007VJ,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DEE,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A008JE,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00E2B,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00CCZ,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00E1X,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00FSP,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DML,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A009ZN,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A008CJ,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00EMB,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DLP,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00FRH,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A007TK,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DBR,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00GAP,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00EWK,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DQW,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DKH,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00DXR,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00F3M,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
ZDF1B8GJ8A00G0T,SAMSUNG,SL-M4020,HO,2018-03-20 00:00:00,261.000000
NDMA873435,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873444,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA917326,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA917319,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA917323,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA917320,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873761,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873410,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873443,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873412,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873411,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873769,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
NDMA873763,CANON,LBP2900,HO,2018-03-20 00:00:00,123.000000
WEP96475,- No Manufacturer -,MF3010,HO,2018-03-20 00:00:00,2.000000
WEP96476,- No Manufacturer -,MF3010,HO,2018-03-20 00:00:00,2.000000
PHC7F00674,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00681,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00706,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00685,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00698,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00664,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00699,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00693,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00701,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00702,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00632,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00686,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00703,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00696,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00677,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00690,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00705,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00678,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00700,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00106,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00695,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00697,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00689,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00679,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00704,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00692,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00684,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00098,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00675,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00672,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F01174,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00667,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F01154,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00105,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00676,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00117,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00694,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00095,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00688,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00673,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00687,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00707,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00623,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00682,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00103,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00111,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00668,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00691,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00108,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00099,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00670,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00680,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00683,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00113,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00110,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00611,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00079,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00717,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00603,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00712,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00673,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00629,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00666,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00618,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00621,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00710,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00699,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00598,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00600,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00606,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00609,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00599,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00617,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F01152,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00604,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00613,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00115,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00680,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00102,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00614,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00715,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00601,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00716,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7D00714,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00620,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00627,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F01387,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00616,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00605,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00626,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00615,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00711,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00608,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00625,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00612,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00610,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHC7F00622,HP,M402M,HO,2018-03-27 00:00:00,259.000000
PHCRR03244,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03243,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03282,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03247,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03248,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03257,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03287,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03284,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03252,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03253,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03283,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03280,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03285,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03245,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03259,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03246,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03281,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03334,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01197,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01203,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01201,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03331,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03254,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01179,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03330,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01176,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01194,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01185,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01193,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01192,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01198,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01177,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01199,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01204,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01182,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01202,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03333,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03306,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01180,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01183,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01200,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01168,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01173,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03278,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03255,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01172,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03335,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03249,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03239,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03318,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01163,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01164,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01166,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01175,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01174,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03274,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03276,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03273,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03272,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03279,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03230,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01187,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01178,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01181,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01165,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01191,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01184,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03301,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03308,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03317,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03288,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03311,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03303,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03309,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01186,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01189,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01188,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03305,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03304,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01171,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03310,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03307,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03319,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03312,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03277,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03316,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01190,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRQ01167,HP,M501N,HO,2018-03-27 00:00:00,89.000000
PHCRR03314,HP,M501N,HO,2018-03-27 00:00:00,89.000000
CNB2KCF67C,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66C,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF664,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66N,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67G,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66K,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF674,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67K,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67L,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67F,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65W,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF678,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65X,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65S,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF663,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65M,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65R,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67P,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67J,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67H,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF672,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67D,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65N,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67R,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65J,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66H,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF668,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF679,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67B,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF676,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65T,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67M,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65Y,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF675,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF673,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65L,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67Q,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF662,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF67N,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66V,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66X,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF666,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66Z,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF677,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF669,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF65Z,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF661,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66W,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66F,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF671,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF670,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66J,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF667,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66T,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66S,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
CNB2KCF66Y,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
